id,title,category,subcategory,description,short_description,tags,review_summary,review_keywords,rating_estimate,review_count_estimate,address,city,state,zip,latitude,longitude,website,phone,image,popularity_score,price_level,family_friendly,outdoor,seasonal_tags,SUNDAYhours,MONDAYhours,TUESDAYhours,WEDNESDAYhours,THURSDAYhours,FRIDAYhours,SATURDAYhours
mi_011,Island Pho & Teriyaki,Restaurants,Teriyaki,"Quick-service restaurant combining Vietnamese pho bowls with Japanese teriyaki plates for fast, fresh meals.",Quick-service restaurant combining Vietnamese pho bowls with Japanese teriyaki plates for fast,"food,dining,teriyaki,japanese,vietnamese","Family-owned and reliable. Customers highlight the flavorful broth and the ""homemade"" feel of the food.","Flavorful, pho, friendly, comfort",4.5,100,3033 78th Avenue Southeast,Mercer Island,Washington,98040,47.5825696,-122.2346907,https://www.islandphoteriyaki.com/,(206) 232-2326,islandpho.jpg,,,,,,11:00am-7:00pm,11:00am-8:00pm,11:00am-8:00pm,11:00am-8:00pm,11:00am-8:00pm,11:00am-8:00pm,11:00am-8:00pm
mi_012,Valhalla Sandwiches,Restaurants,Sandwiches,"Artisan sandwich shop serving hearty sandwiches, wraps, and salads made with high-quality meats and fresh bread.",Artisan sandwich shop serving hearty sandwiches,"food,dining,sandwiches","Consistently top-rated for creative, massive sandwiches. The ""Thanksgetting"" is a local legend.","Fast, hearty, sandwiches, legendary",4.5,100,2630 77th Ave Southeast,Mercer Island,Washington,98040,47.58684,-122.2345409,https://www.valhallasandwiches.com/,(206) 535-6126,valhalla.jpg,,,,,,Closed,9:00am-3:00pm,9:00am-3:00pm,9:00am-3:00pm,9:00am-3:00pm,9:00am-3:00pm,9:00am-3:00pm
mi_013,Just Poke,Restaurants,Poke,"Fast-casual poke restaurant specializing in customizable poke bowls with fresh fish, vegetables, and house sauces.",Fast-casual poke restaurant specializing in customizable poke bowls with fresh fish,"food,dining,poke","Fresh, customizable bowls. Praised for clean ingredients and quick turnaround for takeout.","Fresh, poke, customizable, healthy",4.1,50,2758 78th Ave Southeast,Mercer Island,Washington,98040,47.5860537,-122.2360488,https://justpoke.com/locations/mercerisland/,(206) 466-1057,justpoke.jpg,,,,,,11:00am-7:50pm,11:00am-7:50pm,11:00am-7:50pm,11:00am-7:50pm,11:00am-7:50pm,11:00am-7:50pm,11:00am-7:50pm
mi_014,Pagliacci Pizza,Restaurants,Pizza,Local pizza chain providing quick takeout and delivery of traditional and gourmet pizzas.,Local pizza chain providing quick takeout and delivery of traditional and gourmet pizzas.,"food,dining,pizza,takeout,delivery",Reliable neighborhood delivery and slice counter. The modern interior with a fireplace is a plus.,"Delivery, slices, reliable, fireplace",4.5,300,3077 78th Avenue Southeast,Mercer Island,Washington,98040,47.5819957,-122.2338837,https://www.pagliacci.com/locations/mercer-island,(206) 726-1717,pags.jpeg,,,,,,11:00am-10:00pm,11:00am-10:00pm,11:00am-10:00pm,11:00am-10:00pm,11:00am-10:00pm,11:00am-11:00pm,11:00am-11:00pm
mi_015,McDonald’s,Restaurants,Sandwiches,"International fast-food chain serving burgers, fries, breakfast items, chicken sandwiches, and beverages.",International fast-food chain serving burgers,"food,dining,sandwiches,burgers",Mixed reviews focusing on convenience and order accuracy vs. slower service during peak times.,"Fast, convenient, standard, fries, burgers",3.4,200,2807 78th Avenue Southeast,Mercer Island,Washington,98040,47.5853864,-122.2345236,https://www.mcdonalds.com/us/en-us/location/wa/mercer-island/2807-78th-st-se/11027.html,(206) 232-9175,macdonalds.jpg,,,,,,6:00am-11:00pm,6:00am-11:00pm,6:00am-11:00pm,6:00am-11:00pm,6:00am-11:00pm,6:00am-11:00pm,6:00am-11:00pm
mi_016,Subway,Restaurants,Sandwiches,"Sandwich chain offering customizable subs, wraps, and salads with fresh ingredients.",Sandwich chain offering customizable subs,"food,dining,sandwiches",A reliable stop for quick lunches; unique for offering gluten-free buns and a quiet atmosphere for a fast-food spot.,"Gluten-free, quick, quiet, customizable",3.6,200,7679 Southeast 27th Street,Mercer Island,Washington,98040,47.5864438,-122.2356083,https://restaurants.subway.com/united-states/wa/mercer-island/7679-se-27th,(206) 906-9344,subway.png,,,,,,9:00am-8:00pm,8:30am-8:00pm,8:30am-8:00pm,8:30am-8:00pm,8:30am-8:00pm,8:30am-8:00pm,9:00am-8:00pm
mi_017,Sahara Pizza,Restaurants,Pizza,Delivery and takeout pizza shop offering a variety of toppings and specialty pies.,Delivery and takeout pizza shop offering a variety of toppings and specialty pies.,"food,dining,pizza,takeout,delivery",Highly rated for its unique crust and generous toppings; known for very fast and friendly local delivery.,"Generous toppings, fast delivery, local favorite",4.7,200,8425 Southeast 68th Street,Mercer Island,Washington,98040,47.5417607,-122.2252689,https://saharapizza.com/locations/,(206) 232-9800,saharas.jpg,,,,,,11:00am-10:00pm,11:00am-10:00pm,11:00am-10:00pm,11:00am-10:00pm,11:00am-10:00pm,11:00am-11:00pm,11:00am-11:00pm
mi_018,Yuzen,Restaurants,Sushi,"Traditional Japanese restaurant specializing in authentic sushi, tempura, and bento boxes.",Traditional Japanese restaurant specializing in authentic sushi,"food,dining,sushi,japanese",Upscale yet cozy Japanese dining; renowned for high-quality omakase and fresh sushi specials.,"Authentic, omakase, fresh, cozy",4.6,100,8451 Southeast 68th Street,Mercer Island,Washington,98040,47.5408598,-122.2247076,https://www.yuzenjapanese.com/,(206) 275-3310,yuzen.jpg,,,,,,4:00pm-8:30pm,Closed,Closed,4:00pm-9:00pm,4:00pm-9:00pm,4:00pm-9:00pm,4:00pm-9:00pm
mi_019,Riviera Maya,Restaurants,Mexican,"Family-owned Mexican restaurant serving traditional platters, tacos, and margaritas.",Family-owned Mexican restaurant serving traditional platters,"food,dining,mexican","Festive family-style Mexican restaurant known for large murals, hearty portions, and a welcoming fireplace.","Festive, hearty, family-friendly, murals",4.4,300,8451 Southeast 68th Street,Mercer Island,Washington,98040,47.5408685,-122.2247412,https://www.rivieramayawa.com/,(206) 232-2326,riveira.jpg,,,,,,11:00am-9:00pm,11:00am-9:00pm,11:00am-9:00pm,11:00am-9:00pm,11:00am-9:00pm,11:00am-10:00pm,11:00am-10:00pm
mi_020,Hap’s Burgers & Taps,Restaurants,Burgers,"Casual burger joint serving high-quality patties, shakes, and local craft beers on tap.",Casual burger joint serving high-quality patties,"food,dining,burgers,craft-beer",Retro-style burger joint using grass-fed beef; highly praised for its organic ingredients and hand-spun shakes.,"Retro, grass-fed, organic, milkshakes",4.3,100,2411 76th Avenue Southeast,Mercer Island,Washington,98040,47.5885712,-122.238162,https://www.hapsburgers.com/,(206) 275-2200,haps.png,,,,,,10:30am-6:45pm,10:30am-7:45pm,10:30am-7:45pm,10:30am-7:45pm,10:30am-7:45pm,10:30am-7:45pm,10:30am-7:45pm
mi_021,Starbucks (North),Coffee / Cafes,Cafe,"Neighborhood Starbucks location with specialty coffee drinks, seasonal beverages, and a selection of baked goods.",Neighborhood Starbucks location with specialty coffee drinks,"coffee,cafe,seasonal",Efficient commuter hub near the highway; known for a fast drive-thru and consistent service during the morning rush.,"Fast, drive-thru, commuter, reliable",4.1,500,7620 Southeast 27th Street,Mercer Island,Washington,98040,47.5870485,-122.2370739,,,starbucksn.jpg,,,,,seasonal,5:00am-7:30pm,5:00am-7:30pm,5:00am-7:30pm,5:00am-7:30pm,5:00am-7:30pm,5:00am-7:30pm,5:30am-7:30pm
mi_022,Starbucks (South),Coffee / Cafes,Cafe,South-end Starbucks location providing consistent coffee service and a community meeting spot.,South-end Starbucks location providing consistent coffee service and a community meeting spot.,"coffee,cafe",A more relaxed neighborhood spot; praised for its friendly staff and being a quieter place to work or chat.,"Neighborhood, friendly, quiet, relaxed",4,50,8415 Southeast 68th Street,Mercer Island,Washington,98040,47.5416095,-122.2260661,,,starbuckss.jpg,,,,,,5:30am-6:00pm,5:00am-6:00pm,5:00am-6:00pm,5:00am-6:00pm,5:00am-6:00pm,5:00am-6:00pm,5:30am-6:00pm
mi_023,Einstein Bros. Bagels,Coffee / Cafes,Sandwiches,"Bagel café serving a variety of freshly baked bagels, breakfast sandwiches, coffee drinks, and spreads.",Bagel café serving a variety of freshly baked bagels,"coffee,cafe,sandwiches,bagels",Popular breakfast destination; praised for fresh bagels but occasionally noted for long lines on weekend mornings.,"Fresh bagels, breakfast, busy, convenient",3.8,300,7808 Southeast 28th Street,Mercer Island,Washington,98040,47.5856123,-122.2329413,,(206) 232-8539,einstein.jpeg,,,,,,7:00am-2:00pm,6:00am-2:00pm,6:00am-2:00pm,6:00am-2:00pm,6:00am-2:00pm,6:00am-2:00pm,7:00am-2:00pm
mi_024,L’Experience Paris,Coffee / Cafes,Cafe,"French café offering authentic pastries, croissants, espresso drinks, and light breakfast and lunch items.",French café offering authentic pastries,"coffee,cafe,espresso,pastries,french","Authentic French bakery and wine bar; famous for its kouign-amann and chic, modern Parisian atmosphere.","French, chic, authentic, pastries",4.5,400,3020 78th Avenue Southeast,Mercer Island,Washington,98040,47.5832528,-122.2327738,https://lexperienceparis.com/,(206) 535-8128,l’experience.jpeg,,,,,,8:00am-4:00pm,7:00am-4:00pm,7:00am-4:00pm,7:00am-4:00pm,7:00am-4:00pm,7:00am-6:00pm,8:00am-4:00pm
mi_025,La Fête Pâtisserie Française,Coffee / Cafes,Cafe,"Boutique French bakery café serving pastries, cakes, quiches, and espresso drinks.",Boutique French bakery café serving pastries,"coffee,cafe,espresso,pastries,french",Boutique artisan bakery; reviewers rave about the 'freakishly symmetrical' croissants and sophisticated decor.,"Artisan, elegant, croissants, sophisticated",4.7,300,7605 Southeast 27th Street,Mercer Island,Washington,98040,47.586577,-122.2366098,https://www.lafettemi.com/,(206) 232-2005,lefette.jpg,,,,,,7:00am-3:00pm,7:00am-3:00pm,7:00am-3:00pm,7:00am-3:00pm,7:00am-3:00pm,7:00am-3:00pm,7:00am-3:00pm
mi_026,HUB Boba & Creamery,Coffee / Cafes,Boba,"Popular spot for bubble tea, fruit teas, and premium ice cream flavors.","Popular spot for bubble tea, fruit teas, and premium ice cream flavors.","coffee,cafe,boba,ice-cream,tea",A family favorite for treats; praised for high-quality boba pearls and a rotating selection of unique ice cream.,"Boba, ice cream, family-friendly, treats",4.6,50,2900 78th Ave Southeast,Mercer Island,Washington,98040,47.584367,-122.2334739,https://www.hubboba.com/,(206) 466-2679,hub.jpg,,,,,,12:00pm-8:00pm,12:00pm-8:00pm,12:00pm-8:00pm,12:00pm-8:00pm,12:00pm-8:00pm,12:00pm-9:00pm,12:00pm-9:00pm
mi_027,Miriam’s Bakeshop,Bakeries / Desserts,Bakery,"Local bakery specializing in traditional Jewish and Italian baked goods, breads, and pastries.",Local bakery specializing in traditional Jewish and Italian baked goods,"bakery,dessert,pastries,italian,pizza,pasta","A local treasure for old-world Jewish and Italian baking; loved for its nostalgic, 'made-from-scratch' quality.","Nostalgic, traditional, handmade, specialty",4.9,50,2711 76th Ave Southeast,Mercer Island,Washington,98040,47.5863631,-122.2380702,,(206) 465-4122,miriams.jpg,,,,,,Pop-up Only,Closed,Closed,Closed,By Appt,9:00am-1:00pm,Closed
mi_028,Macrina Bakery,Bakeries / Desserts,Sandwiches,"Artisan bakery serving fresh breads, pastries, cakes, and café-style sandwiches and coffee.",Artisan bakery serving fresh breads,"bakery,dessert,sandwiches,pastries",Highly regarded for artisan breads and sandwiches; noted for its strong community feel and quality ingredients.,"Artisan bread, quality, community, sandwiches",4.4,200,3051 78th Avenue Southeast,Mercer Island,Washington,98040,47.5820839,-122.2347012,https://macrinabakery.com/,(206) 232-3531,macrina.jpg,,,,,,7:00am-6:00pm,7:00am-6:00pm,7:00am-6:00pm,7:00am-6:00pm,7:00am-6:00pm,7:00am-6:00pm,7:00am-6:00pm
mi_029,Oh! Chocolate,Bakeries / Desserts,Chocolate,"Specialty chocolate shop offering handmade truffles, chocolate bars, and gift boxes.",Specialty chocolate shop offering handmade truffles,"bakery,dessert,chocolate",Third-generation family chocolatier; known for exquisite handmade truffles and beautiful gift packaging.,"Exquisite, truffles, giftable, handmade",4.8,100,8451 Southeast 68th Street,Mercer Island,Washington,98040,47.5408305,-122.2245266,https://ohchocolate.com/,(206) 232-4974,oh!.jpg,,,,,,Closed,Closed,11:00am-5:00pm,11:00am-5:00pm,11:00am-5:00pm,11:00am-5:00pm,11:00am-5:00pm
mi_030,QFC (North Mercer Island),Grocery Stores,Grocery,"Regional grocery store providing fresh and packaged foods, prepared meals, and pharmacy services.",Regional grocery store providing fresh and packaged foods,"grocery,pharmacy",Well-stocked grocery anchor; praised for its fresh sushi station and being a reliable late-night resource.,"Stocked, reliable, late-night, fresh sushi",4,500,7823 Southeast 28th Street,Mercer Island,Washington,98040,47.5849609,-122.2328401,,,qfcn.jpg,,,,,,5:00am-1:00am,5:00am-1:00am,5:00am-1:00am,5:00am-1:00am,5:00am-1:00am,5:00am-1:00am,5:00am-1:00am
mi_031,QFC (South Mercer Island),Grocery Stores,Grocery,"Regional grocery store providing fresh and packaged foods, prepared meals, and convenient shopping options.",Regional grocery store providing fresh and packaged foods,grocery,Known as the community-centric branch; praised for the Top Pot Doughnut counter and helpful long-term staff.,"Community, Top Pot, friendly, grocery",4.3,200,8421 Southeast 68th Street,Mercer Island,Washington,98040,47.5410035,-122.2261208,,,,,,,,,5:00am-1:00am,5:00am-1:00am,5:00am-1:00am,5:00am-1:00am,5:00am-1:00am,5:00am-1:00am,5:00am-1:00am
mi_032,Metropolitan Market,Grocery Stores,Grocery,"Upscale grocery store offering high-quality prepared foods, artisan baked goods, and specialty products.",Upscale grocery store offering high-quality prepared foods,grocery,Premium grocery experience; famous for 'The Cookie' and high-quality prepared foods and floral department.,"The Cookie, premium, prepared foods, gourmet",4.3,400,2755 77th Avenue Southeast,Mercer Island,Washington,98040,47.5852667,-122.2358743,https://metropolitan-market.com/locations/mercer-island/,,,,,,,,6:00am-11:00pm,6:00am-11:00pm,6:00am-11:00pm,6:00am-11:00pm,6:00am-11:00pm,6:00am-11:00pm,6:00am-11:00pm
mi_033,Island Books,Retail,Bookstore,"Independent bookstore offering a curated selection of books, gifts, and stationery.",Independent bookstore offering a curated selection of books,"shopping,retail,bookstore,books,gifts","An Island institution; praised for a warm atmosphere, knowledgeable staff, and a fantastic selection for kids.","Institution, cozy, knowledgeable, bookstore",4.8,300,3014 78th Avenue Southeast,Mercer Island,Washington,98040,47.5835057,-122.2327555,https://www.mercerislandbooks.com/,,,,,,,,10:00am-5:00pm,9:00am-6:00pm,9:00am-6:00pm,9:00am-6:00pm,9:00am-6:00pm,9:00am-6:00pm,9:00am-6:00pm
mi_034,Mud Bay,Retail,Pet Supplies,"Pet supply store specializing in natural pet foods, toys, and grooming products.","Pet supply store specializing in natural pet foods, toys, and grooming products.","shopping,retail,pet-supplies,pet,pets",Clean and well-organized; staff are highly educated on pet nutrition and proactive in helping solve pet issues.,"Pet health, clean, knowledgeable, local",4.7,100,2441 76th Ave Southeast,Mercer Island,Washington,98040,47.5881393,-122.2380261,https://www.mudbay.com/,,,,,,,,10:00am-7:00pm,11:00am-7:00pm,11:00am-7:00pm,11:00am-7:00pm,11:00am-7:00pm,11:00am-7:00pm,10:00am-7:00pm
mi_035,All The Best Pet Care,Retail,Pet Supplies,"Local pet retailer offering holistic food, treats, and supplies for dogs and cats.",Local pet retailer offering holistic food,"shopping,retail,pet-supplies,pet,pets",Exceptional customer service; beloved for single-ingredient treats and a genuine investment in local pet wellness.,"Premium, natural, helpful, single-ingredient",4.5,50,3037 78th Avenue Southeast,Mercer Island,Washington,98040,47.5825003,-122.2346883,https://shop.allthebestpetcare.com/mercer-island/,,,,,,,,10:00am-7:00pm,9:30am-7:30pm,9:30am-7:30pm,9:30am-7:30pm,9:30am-7:30pm,9:30am-7:30pm,9:30am-7:30pm
mi_036,Clarke & Clarke Art + Artifacts,Retail,Retail,Home décor and art store featuring unique home goods and decorative pieces.,Home décor and art store featuring unique home goods and decorative pieces.,"shopping,retail","Sophisticated gallery showcasing Northwest artists and global artifacts; praised for its curated, unique selection.","Gallery, artifacts, sophisticated, unique",4.5,25,7605 Southeast 27th Street,Mercer Island,Washington,98040,47.5865741,-122.2370829,,,,,,,,,Closed,Closed,11:00am-5:00pm,11:00am-5:00pm,11:00am-5:00pm,11:00am-5:00pm,11:00am-5:00pm
mi_037,Terra Bella,Retail,Retail,"Gift shop selling home décor, artisanal products, and seasonal gifts in a boutique environment.",Gift shop selling home décor,"shopping,retail,seasonal,gifts",Charming boutique for home decor and gifts; noted for beautiful displays and being a great spot for local gifts.,"Giftable, home decor, charming, local",4.4,25,3028 78th Avenue Southeast,Mercer Island,Washington,98040,47.5829756,-122.232765,https://terrabellagifts.com/,,,,,,,seasonal,10:00am-5:00pm,10:00am-6:00pm,10:00am-6:00pm,10:00am-6:00pm,10:00am-6:00pm,10:00am-6:00pm,10:00am-6:00pm
mi_038,Mercer Island Florist,Retail,Florist,"Flower shop providing fresh bouquets, floral arrangements, and event floral design.",Flower shop providing fresh bouquets,"shopping,retail,florist,flowers",Renowned for 'wow-factor' arrangements and excellent delivery service; highly reliable for last-minute sympathy or celebration orders.,"Exquisite, reliable, floral, chic",4.7,100,3006 78th Avenue Southeast,Mercer Island,Washington,98040,47.5833716,-122.2334245,https://www.mercerislandflorist.com/,,,,,,,,Closed,9:00am-5:30pm,9:00am-5:30pm,9:00am-5:30pm,9:00am-5:30pm,9:00am-5:30pm,9:00am-4:00pm
mi_039,Mercer Jewelers,Retail,Jewelry,"Family-owned jewelry store selling fine jewelry, watches, and providing repair services.",Family-owned jewelry store selling fine jewelry,"shopping,retail,jewelry",Family-owned with a focus on high-quality repair and custom design; praised for being honest and community-oriented.,"Custom design, honest, jewelry repair, family-owned",,,8425 Southeast 68th Street,Mercer Island,Washington,98040,47.5417203,-122.2254268,,,,,,,,,Closed,Closed,10:00am-5:00pm,10:00am-5:00pm,10:00am-5:00pm,10:00am-5:00pm,9:00am-4:00pm
mi_040,Mercer Island Eyeworks,Retail,Optical,"Optical shop offering prescription glasses, sunglasses, and eye exams.","Optical shop offering prescription glasses, sunglasses, and eye exams.","shopping,retail,optical,glasses",Highly professional staff; known for a great selection of high-end frames and very thorough eye examinations.,"Professional, high-end frames, thorough, eye care",5,500,7800 Southeast 27th Street,Mercer Island,Washington,98040,47.5868482,-122.2331723,,,,,,,,,Closed,9:30am-7:00pm,9:30am-7:00pm,9:30am-5:30pm,10:00am-6:00pm,9:00am-5:30pm,9:00am-3:00pm
mi_041,True Value Hardware,Retail,Hardware,"Hardware store providing tools, home improvement supplies, and paint products.","Hardware store providing tools, home improvement supplies, and paint products.","shopping,retail,hardware,paint",Quintessential neighborhood hardware store; staff are frequently cited for being extremely helpful with DIY advice.,"Helpful staff, DIY, neighborhood, hardware",4.3,100,7707 Southeast 27th Street,Mercer Island,Washington,98040,47.586066,-122.2346554,,,,,,,,,10:00am-5:00pm,8:00am-6:00pm,8:00am-6:00pm,8:00am-6:00pm,8:00am-6:00pm,8:00am-6:00pm,9:00am-6:00pm
mi_042,Walgreens,Retail,Pharmacy,"National pharmacy and convenience retailer offering medicine, snacks, and household essentials.",National pharmacy and convenience retailer offering medicine,"shopping,retail,pharmacy",Convenient location but reviews often note long pharmacy wait times during peak hours and varying stock levels.,"Convenient, pharmacy, accessible, central",1.5,200,Southeast 27th Street,Mercer Island,Washington,98040,47.5862332,-122.2343338,,,,,,,,,7:00am-10:00pm,7:00am-10:00pm,7:00am-10:00pm,7:00am-10:00pm,7:00am-10:00pm,7:00am-10:00pm,7:00am-10:00pm
mi_043,Hip Zephyr,Retail,Women's Health,"Contemporary women’s boutique featuring clothing, accessories, and curated lifestyle goods.",Contemporary women’s boutique featuring clothing,"shopping,retail,women-s-health","Trendy boutique with a personal touch; the owner Dana is praised for helping customers build versatile, high-quality outfits.","Trendy, personalized, versatile, boutique",4.8,100,2727 78th Avenue Southeast,Mercer Island,Washington,98040,47.5860126,-122.2340587,https://hipzephyr.com/,,,,,,,,Closed,12:00pm-5:00pm,12:00pm-5:00pm,12:00pm-5:00pm,12:00pm-5:00pm,12:00pm-5:00pm,12:00pm-5:00pm
mi_044,MIVAL Art Gallery,Retail,Art Gallery,Local art gallery featuring rotating exhibits and sales of work by community artists.,Local art gallery featuring rotating exhibits and sales of work by community artists.,"shopping,retail,art-gallery",Artist-run cooperative showing diverse local talent; appreciated for its rotating exhibits and support of Island artists.,"Local artists, cooperative, community art, gallery",4.4,50,2836 78th Ave Southeast,Mercer Island,Washington,98040,47.5845115,-122.2334672,,,,,,,,,12:00pm-4:00pm,Closed,Closed,12:00pm-6:00pm,12:00pm-6:00pm,12:00pm-6:00pm,12:00pm-6:00pm
